time,co,no,no2,so2,o3
2022-01-06 03:00:00,157.41702,0.007271716,2.193075,1.0328383,61.580906
2022-01-06 04:00:00,157.49037,0.010619001,2.2187572,1.033245,61.417328
2022-01-06 05:00:00,158.39409,0.027082006,2.3377259,1.053607,61.16212
2022-01-06 06:00:00,159.21727,0.07528,2.565428,1.0811901,60.82198
2022-01-06 07:00:00,159.60478,0.15063429,2.8180742,1.1044716,60.67236
2022-01-06 08:00:00,159.18443,0.23556645,2.9691474,1.1180637,60.809204
2022-01-06 09:00:00,158.35591,0.3497996,2.915184,1.1211567,61.45536
2022-01-06 10:00:00,157.2984,0.40676212,2.6570604,1.1211227,62.672558
2022-01-06 11:00:00,156.29092,0.38576058,2.5188322,1.1144654,63.738934
2022-01-06 12:00:00,155.76892,0.33521163,2.4416575,1.1077259,64.675285
2022-01-06 13:00:00,155.72775,0.26750517,2.4742866,1.0951552,65.38501
2022-01-06 14:00:00,156.31412,0.17972152,2.6593623,1.0973603,65.57215
2022-01-06 15:00:00,157.99432,0.09808921,2.946402,1.1054525,65.31364
2022-01-06 16:00:00,160.34116,0.05563083,3.2594378,1.1025449,64.546585
2022-01-06 17:00:00,162.6592,0.04032618,3.5618732,1.1137259,63.604122
2022-01-06 18:00:00,164.30318,0.034690894,3.7006297,1.132816,62.91321
2022-01-06 19:00:00,165.36264,0.031119287,3.3667881,1.1365496,62.397797
2022-01-06 20:00:00,165.65321,0.027744826,3.5343935,1.14078,62.086464
2022-01-06 21:00:00,165.92128,0.023788253,3.3526664,1.1264961,61.932182
2022-01-06 22:00:00,165.43892,0.018942302,3.1608272,1.100809,61.900352
2022-01-06 23:00:00,164.35301,0.014036262,2.9215658,1.0706347,61.898293
2022-01-07 00:00:00,163.22607,0.010917638,2.70725,1.0429696,61.873585
2022-01-07 01:00:00,162.07144,0.008536484,2.5204597,1.032121,61.86532
2022-01-07 02:00:00,161.42892,0.007783313,2.423328,1.0337962,61.861954
2022-01-07 03:00:00,160.9336,0.0076939007,2.3365018,1.0431317,61.87513
2022-01-07 04:00:00,160.48297,0.010246629,2.3293576,1.0669708,61.827
2022-01-07 05:00:00,160.96129,0.02419958,2.430783,1.098779,61.66957
2022-01-07 06:00:00,161.81046,0.068011336,2.644828,1.1359034,61.476925
2022-01-07 07:00:00,162.14081,0.1450814,2.8949034,1.1745237,61.4837
2022-01-07 08:00:00,161.4595,0.2501208,2.9846544,1.2018868,61.91002
